Connection;Size;Arrive_Time;Holdtime;Release_Time;Source;Target;allocated
0,1200,0.008246684867695355,2.0092282842912894,2.0174749691589846,12,0,0
0,1200,0.008246684867695355,2.0092282842912894,2.0174749691589846,12,0,0
0,1200,0.008246684867695355,2.0092282842912894,2.0174749691589846,12,0,0
0,48,0.005731281055719187,4.862308716639198,4.868039997694917,12,1,1
1,240,0.00679974743796781,0.39696963950906594,0.40376938694703374,11,9,1
2,480,0.010057657643840177,1.2467340027619993,1.2567916604058396,8,12,1
3,48,0.012289891020606942,0.4996829827174973,0.5119728737381042,11,10,1
4,1200,0.012492687776116933,0.5941931797192218,0.6066858674953387,4,11,1
5,480,0.013830501667015736,0.9894550645624005,1.0032855662294162,6,2,1
6,48,0.01550850821110449,0.37871423128561044,0.39422273949671494,8,2,1
7,48,0.016436159359635428,0.7866220475225436,0.803058206882179,0,3,1
8,120,0.016463681497673917,0.3720523567181838,0.38851603821585773,5,8,1
9,480,0.018931730235512863,3.4905835882123104,3.509515318447823,10,2,1
10,48,0.019236553772351873,2.193016256207689,2.2122528099800407,5,0,1
11,480,0.027287944332690703,2.2909754217542324,2.318263366086923,6,10,1
12,1200,0.02954641935437578,1.7679589965106053,1.797505415864981,5,4,1
13,240,0.030420244272640763,2.3490043767671143,2.379424621039755,2,6,1
14,48,0.03092671710255536,0.2930117784083764,0.32393849551093173,4,6,1
15,240,0.03242682468824768,1.1692792995720698,1.2017061242603175,9,8,1
16,240,0.037510329634246456,0.005703052605753224,0.04321338223999968,8,0,0
16,240,0.037510329634246456,0.005703052605753224,0.04321338223999968,8,0,0
16,240,0.037510329634246456,0.005703052605753224,0.04321338223999968,8,0,0
17,480,0.03948791350747908,0.5215623435692051,0.5610502570766841,11,2,1
18,120,0.04352912398360024,4.5042046116191035,4.547733735602704,-1,5,1
19,480,0.045479590718513783,2.1183231134662033,2.163802704184717,11,2,1
20,1200,0.04857717062354091,1.9956064121219355,2.044183582745476,2,12,1
21,480,0.04876233208582262,0.05261123729040329,0.10137356937622591,11,8,1
22,240,0.05530886527854549,0.02920019730031581,0.0845090625788613,1,6,0
22,240,0.05530886527854549,0.02920019730031581,0.0845090625788613,1,6,0
22,240,0.05530886527854549,0.02920019730031581,0.0845090625788613,1,6,0
23,1200,0.06062324731897426,0.39362551866123285,0.45424876598020714,2,9,1
24,48,0.06069346181895981,0.5948918527584162,0.655585314577376,0,6,1
25,240,0.061447954601689045,1.5169818951972003,1.5784298497988893,7,0,0
25,240,0.061447954601689045,1.5169818951972003,1.5784298497988893,7,0,0
25,240,0.061447954601689045,1.5169818951972003,1.5784298497988893,7,0,0
26,480,0.06629803254132957,1.7270205603088002,1.7933185928501298,12,8,1
27,48,0.06762718127573751,1.389982420704087,1.4576096019798244,8,7,1
28,48,0.06850653687126732,0.8162636203808358,0.8847701572521031,9,-1,1
29,480,0.06941751243541078,1.8157067203993769,1.8851242328347877,11,9,1
30,480,0.07183673183403542,0.11516693513543634,0.18700366696947177,-1,5,1
