SimulationNum;Connection;Size;Arrive_Time;Holdtime;Release_Time;Source;Target;
0;0;120.0;1.7856968770290236E-4;4.028065881667526;4.02824445135523;2;1;
0;1;120.0;0.0016894118163128928;1.4169027192048815;1.4185921310211944;2;1;
0;2;120.0;0.0019253796399654045;3.446983834592986;3.4489092142329514;3;4;
0;3;120.0;0.0021630395606497127;1.0879543998497587;1.0901174394104085;4;1;
0;4;120.0;0.002755687037968125;0.06931562546690294;0.07207131250487106;4;1;
0;5;120.0;0.003213007314447923;0.4130684748829341;0.416281482197382;2;4;
0;6;120.0;0.003280012424356671;1.2925172720792462;1.2957972845036028;1;4;
0;7;120.0;0.0033623926416071655;0.5993933618183156;0.6027557544599228;2;4;
0;8;120.0;0.0037110067853260787;1.2095117501541222;1.2132227569394483;2;4;
0;9;120.0;0.003855613496151468;0.11955698470497822;0.12341259820112968;1;3;
0;10;120.0;0.003954520106076166;0.6699527840671926;0.6739073041732688;1;4;
0;11;120.0;0.004010172010992155;0.694170221995462;0.6981803940064542;1;2;
0;12;120.0;0.004132739418372078;1.3989769330570845;1.4031096724754566;2;3;
0;13;120.0;0.004303640797879497;2.2829227141107995;2.287226354908679;1;2;
0;14;120.0;0.0044634335946904915;3.164124364648382;3.1685877982430726;1;4;
0;15;120.0;0.004933611792048226;2.8361154342938906;2.841049046085939;1;2;
0;16;120.0;0.005063430689034247;7.140907443513964;7.145970874202998;4;3;
0;17;120.0;0.005143817257296968;1.2154359416128162;1.2205797588701133;2;1;
0;18;120.0;0.005306178880498225;0.4355629742585785;0.4408691531390767;4;3;
0;19;120.0;0.005464992307979418;0.026665574397641882;0.0321305667056213;2;1;
0;20;120.0;0.005981669180730584;0.3396804498367316;0.3456621190174622;3;4;
0;21;120.0;0.00604092702376674;0.19707185566325314;0.20311278268701988;3;4;
0;22;120.0;0.006650994382638089;0.15184436416153502;0.1584953585441731;3;1;
0;23;120.0;0.006709733256833722;1.7394006368064718;1.7461103700633056;2;1;
0;24;120.0;0.007066528718114633;1.629913506662163;1.6369800353802777;3;2;
0;25;120.0;0.007211041170309932;0.849363866244969;0.8565749074152789;2;3;
0;26;120.0;0.007213334941563187;3.122688563720944;3.129901898662507;2;4;
0;27;120.0;0.007339701131497717;3.7098235440317;3.7171632451631975;2;1;
0;28;120.0;0.007603923000026851;1.8691725794342893;1.8767765024343162;3;2;
0;29;120.0;0.007666932850454703;0.2571439200993517;0.26481085294980644;1;4;
0;30;120.0;0.007725303068095885;0.48689488652558377;0.49462018959367965;4;3;
0;31;120.0;0.007824167993744793;3.3465956786505666;3.3544198466443116;3;4;
0;32;120.0;0.008905136999717659;2.6100783586856067;2.6189834956853244;4;2;
0;33;120.0;0.009026513131616901;2.3956443333168225;2.404670846448439;2;3;
0;34;120.0;0.009140709167577057;0.37248425065003876;0.3816249598176158;1;4;
0;35;120.0;0.009157972878090429;1.1604035749735224;1.1695615478516128;1;3;
0;36;120.0;0.009462441059210402;0.845592556316646;0.8550549973758563;3;2;
0;37;120.0;0.010039979449717564;0.07199555741117042;0.08203553686088798;3;4;
0;38;120.0;0.010092719650665142;0.026636405432321153;0.03672912508298629;4;3;
0;39;120.0;0.01024569941730877;0.5522331150162509;0.5624788144335597;2;4;
0;40;120.0;0.010249279669177483;0.13617217550894087;0.14642145517811836;4;3;
0;41;120.0;0.010937577548708565;1.0432761374404105;1.054213714989119;4;2;
0;42;120.0;0.011018959731496384;0.9267224163717347;0.937741376103231;4;2;
0;43;120.0;0.011072070738413905;1.1898325109993857;1.2009045817377997;1;4;
0;44;120.0;0.011165399732121592;0.0023947611017025583;0.01356016083382415;3;4;
0;45;120.0;0.011601903594206969;0.5940072708306381;0.6056091744248451;2;1;
0;46;120.0;0.011691487434188987;3.670025421592703;3.6817169090268917;3;2;
0;47;120.0;0.011743842148960936;0.9809075812692836;0.9926514234182445;3;2;
0;48;120.0;0.011762572493709548;0.09428414669339613;0.10604671918710568;1;2;
0;49;120.0;0.011867590912178141;1.6587902306001028;1.670657821512281;2;1;
0;50;120.0;0.01220904800105308;0.46133218899410217;0.47354123699515527;3;1;
0;51;120.0;0.012465592774328339;1.5158524372743543;1.5283180300486825;4;1;
0;52;120.0;0.012557985754066794;2.21713238467585;2.229690370429917;2;4;
0;53;120.0;0.012705995628510752;5.7983331284030015;5.811039124031512;3;2;
0;54;120.0;0.012827185281949148;1.4995078376371465;1.5123350229190955;3;2;
0;55;120.0;0.012893296687053055;0.017284750195749432;0.030178046882802487;2;3;
0;56;120.0;0.01297245483824401;0.940359828669896;0.95333228350814;2;4;
0;57;120.0;0.013104756666641558;0.8739534265229407;0.8870581831895823;3;1;
0;58;120.0;0.013260761431946015;1.6422120952083792;1.6554728566403252;3;4;
0;59;120.0;0.013406019037583343;5.0138044910886235;5.027210510126207;1;2;
0;60;120.0;0.01352093800481011;1.0849875848691273;1.0985085228739373;2;1;
0;61;120.0;0.01361506242216817;7.877451808512527;7.891066870934695;4;1;
0;62;120.0;0.013769680153483295;6.411819103545427;6.4255887836989105;2;3;
0;63;120.0;0.013863943481768644;3.6273444370219394;3.641208380503708;2;1;
0;64;120.0;0.013888278103335346;0.3456425570538335;0.3595308351571689;3;2;
0;65;120.0;0.014121158192060519;0.710204520726319;0.7243256789183795;1;2;
0;66;120.0;0.014260701102609408;1.6122029147007804;1.6264636158033898;3;1;
0;67;120.0;0.01431307983825871;0.34776829909782836;0.36208137893608705;3;4;
0;68;120.0;0.014759766844745184;1.1550056215875653;1.1697653884323105;2;1;
